# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Oct  4 03:36:09 2025,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,
# COLUMN disposition:    Archive Disposition,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,
# COLUMN pl_insol:       Insolation Flux [Earth Flux],,,,,,,,,,,,,,,,,,
# COLUMN pl_eqt:         Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,
# COLUMN pl_imppar:      Impact Parameter,,,,,,,,,,,,,,,,,,
# COLUMN pl_trandep:     Transit Depth [%],,,,,,,,,,,,,,,,,,
# COLUMN pl_trandur:     Transit Duration [hours],,,,,,,,,,,,,,,,,,
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius,,,,,,,,,,,,,,,,,,
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius,,,,,,,,,,,,,,,,,,
# COLUMN pl_occdep:      Occultation Depth [%],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbtper:     Epoch of Periastron [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orblper:     Argument of Periastron [deg],,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,
# COLUMN st_age:         Stellar Age [Gyr],,,,,,,,,,,,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
pl_name,hostname,disposition,sy_snum,sy_pnum,pl_orbper,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_age,sy_gaiamag
EPIC 201238110 b,EPIC 201238110,candidate,1,1,28.1696,,,,,,0.316,3.36,,0.374,,,,15.2612
EPIC 201238110.01,EPIC 201238110,candidate,1,1,7.90417,,,,,,0.268,1.92,,0.374,,,,15.2612
EPIC 201238110.01,EPIC 201238110,candidate,1,1,7.9069606,,,,,0.34,0.28,1.73,3772,0.52,,,,15.2612
EPIC 201238163.01,EPIC 201238163,candidate,1,0,1.0829614,,,,,0.46,0.0655,1.22,3875,0.56,,,,15.1848
EPIC 201239401.01,EPIC 201239401,candidate,1,0,0.905655,,,,,,0.0678,1.488,,0.576,,,,14.9247
EPIC 201239401.01,EPIC 201239401,candidate,1,0,0.90552205,,,,,0.49,0.0791,1.32,3710,0.5,,,,14.9247
EPIC 201247497.01,EPIC 201247497,candidate,1,0,2.7541129,,,,,0.61,0.671,1.24,3834,0.55,,,,16.7664
EPIC 201247497.01,EPIC 201247497,candidate,1,0,2.75421,,,,,,0.746,1.32,,0.89,,,,16.7664
EPIC 201247497.01,EPIC 201247497,candidate,1,0,2.75391,,,,,,,1.0296,3918,0.436,,4.846,,16.7664
EPIC 201257461.01,EPIC 201257461,non-candidate,1,0,50.285869,,,,,0.95,0.184,12.62,4859,0.74,,,,11.5044
EPIC 201257461.01,EPIC 201257461,non-candidate,1,0,50.27762,,,1466,,,,,5141,10.96,,,,11.5044
EPIC 201258341.01,EPIC 201258341,candidate,1,0,10.50439,,,,,,0.0402,3.384,,0.878,,,,9.78271
EPIC 201259803.01,EPIC 201259803,candidate,1,0,1.684208,,,,,,1.476,1.3224,,0.431,,,,16.2552
EPIC 201264302.01,EPIC 201264302,candidate,1,0,0.2122013,,,,,,0.0725,0.624,,0.188,,,,13.8198
EPIC 201264302.01,EPIC 201264302,candidate,1,0,0.21219899,,,,,0.35,0.0662,0.52,3468,0.37,,,,13.8198
EPIC 201264302.01,EPIC 201264302,candidate,1,0,0.212194,,,,83.3,,,,3299,0.26,,5.106,,13.8198
EPIC 201270176.01,EPIC 201270176,candidate,1,0,1.5778643,,,,,0.92,0.891,3.02,4811,0.73,,,,12.2983
EPIC 201270176.01,EPIC 201270176,candidate,1,0,1.57771549,,,,,,1.823,3.086,5163,1.15585,0.87,4.25178,,12.2983
EPIC 201270464.01,HIP 55390,candidate,1,0,1.57771549,,,,,,0.875,2.993,7333,2.56752,1.66,3.83915,,9.0828
EPIC 201274010.01,EPIC 201274010,candidate,1,0,13.0113,,,713,,0.42,0.065,2.2008,5347,0.880221,0.92,4.51267,,13.8764
EPIC 201291843.01,EPIC 201291843,candidate,1,0,40.70206194,,,,,,0.536,1.621,3759,0.572892,0.565387,4.67427,,13.6506
EPIC 201299088.01,EPIC 201299088,candidate,1,0,21.204739,,,,83.49032,,,,5154,1.761722,,3.91,,11.7673
EPIC 201324549.01,EPIC 201324549,non-candidate,1,0,2.519334,,,,,,,1.54512,6283,1.45,,4.17,,12.1049
EPIC 201324549.01,EPIC 201324549,non-candidate,1,0,2.5194039,,219.344,,,,0.1935,1.113,6380,1.76,,,,12.1049
EPIC 201324549.01,EPIC 201324549,non-candidate,1,0,2.519386,,,,,,0.2036,1.584,,2.03,,,,12.1049
EPIC 201324549.01,EPIC 201324549,non-candidate,1,0,2.51881781,,,,,,0.215,1.58,6380,1.76277,,,,12.1049
EPIC 201324549.01,EPIC 201324549,non-candidate,1,0,2.5194078,,,,,0.86,0.181,1.24,7119,1.72,,,,12.1049
EPIC 201352100.01,EPIC 201352100,candidate,1,0,13.383629,,,,89.24743,,,,5216,0.815235,,4.7,,12.6813
EPIC 201352100.01,EPIC 201352100,candidate,1,0,13.38382,,,608,,0.38,0.12,2.2008,5113.71,0.65973,0.86,4.73383,,12.6813
EPIC 201357835.01,EPIC 201357835,candidate,1,0,11.8951,,,,,0.52,,,5040,0.68,,,,12.627
EPIC 201359834.01,EPIC 201359834,candidate,1,0,40.1401,,,,,,1.896,3.024,,0.716,,,,15.5853
EPIC 201366540.01,EPIC 201366540,candidate,1,0,7.4433,,,,,,0.116,1.632,,0.724,,,,14.943
EPIC 201390927.01,EPIC 201390927,candidate,1,0,2.638,,,1313,,0.42,0.11,1.6992,4264.47,,,,,14.4164
EPIC 201392505.01,EPIC 201392505,candidate,1,0,27.47083,,,480,,0.4,0.15,5.5008,4947.03,0.749863,0.81,4.59659,,13.3313
EPIC 201407812.01,EPIC 201407812,candidate,1,0,2.8268121,,,,,0.82,14.1,6.8,5736,0.98,,,,11.8038
EPIC 201427007 b,EPIC 201427007,candidate,1,1,0.72091,,,,88.5,,,,5633,0.94,,4.4,,14.147
EPIC 201441872.01,EPIC 201441872,candidate,1,0,4.44044,,,,,,0.01414,2.712,,1.053,,,,11.9904
EPIC 201441872.01,EPIC 201441872,candidate,1,0,4.4416421,,,,,0.25,0.0143,2.74,5547,0.9,,,,11.9904
EPIC 201441872.01,EPIC 201441872,candidate,1,0,4.441258,,,,87.00105,,,,5450,0.833852,,4.54,,11.9904
EPIC 201445732.01,EPIC 201445732,candidate,1,0,11.20381,,,,,,0.0354,1.1328,,1.1,,,,11.8803
EPIC 201456770.01,EPIC 201456770,candidate,1,0,8.006875,,,,,0.609,,2.5,5403,0.846,0.904,4.538,,13.9771
EPIC 201488365.01,HIP 54766,candidate,1,0,3.3643115,,,,,0.56,35.2,7.4,6240,1.32,,,,8.32033
EPIC 201497682 b,EPIC 201497682,candidate,1,1,2.13174,,,,,0.21,,,,,0.78,,,13.7368
EPIC 201497682.01,EPIC 201497682,candidate,1,1,13.837814,,,,,0.35,0.0663,2.84,4535,0.7,,,,13.7368
EPIC 201497682.01,EPIC 201497682,candidate,1,1,13.8394,,,,,,0.0487,2.52,,0.554,,,,13.7368
EPIC 201497682.02,EPIC 201497682,candidate,1,1,7.79983,,,,,,0.0561,3,,0.554,,,,13.7368
EPIC 201497682.02,EPIC 201497682,candidate,1,1,7.7991586,,,,,0.31,0.0423,2.94,4535,0.7,,,,13.7368
EPIC 201497682.04,EPIC 201497682,candidate,1,1,3.883,,162,,,,0.0322,2.03,,0.554,,,,13.7368
EPIC 201512465.01,EPIC 201512465,candidate,1,0,2.3330982,,,,,0.85,0.993,1.4,3726,0.5,,,,17.4548
EPIC 201512465.01,EPIC 201512465,candidate,1,0,2.33293,,,,,,,1.2096,3508,0.224,,5.062,,17.4548
EPIC 201512465.01,EPIC 201512465,candidate,1,0,2.333123,,,,,,1.27,1.128,,0.224,,,,17.4548
EPIC 201515470.01,EPIC 201515470,candidate,1,0,20.2073,,,,,,0.0735,3.72,,0.7624,,,,13.8304
EPIC 201516974.01,EPIC 201516974,candidate,1,0,36.7099,,,,82.6,0.9,,17.664,5069.12,5.33871,,,,11.2468
EPIC 201516974.01,EPIC 201516974,candidate,1,0,36.762337,,,,,0,0.177,18.73,4932,0.75,,,,11.2468
EPIC 201521212.01,EPIC 201521212,candidate,1,0,19.565799,,,,,0.419,,5.3,4486,0.854,1.193,4.652,,
EPIC 201528215.01,EPIC 201528215,candidate,1,0,6.39916,,,,,,0.0401,2.472,,0.7006,,,,13.4754
EPIC 201528215.01,EPIC 201528215,candidate,1,0,6.3991398,,,,,0.2,0.0449,2.1,5210,0.8,,,,13.4754
EPIC 201534540.01,EPIC 201534540,candidate,1,0,2.72273204,,,,,,1.494,3.596,8002,2.85976,1.93,3.81097,,8.18417
EPIC 201541160.01,EPIC 201541160,candidate,1,0,15.695142,,,,,0.353,,2.9,4270,0.625,0.743,4.719,,13.7783
EPIC 201543531.01,EPIC 201543531,candidate,1,0,2.48038,,,,,,0.0116,1.848,,1.27,,,,11.9456
EPIC 201546136.01,EPIC 201546136,candidate,1,0,1.9668579,,,,,0.71,0.0322,2.4,5063,0.77,,,,13.8303
EPIC 201546136.01,EPIC 201546136,candidate,1,0,1.96712,,,,,,0.0361,2.712,,0.826,,,,13.8303
EPIC 201555883.01,EPIC 201555883,non-candidate,1,0,,,,,,,,,4419,0.52,,,,15.0199
EPIC 201556134.01,EPIC 201556134,candidate,1,0,12.726743,,,,,0.26,0.0579,3.88,4767,0.73,,,,14.3001
EPIC 201561956.01,EPIC 201561956,candidate,1,0,13.2359,,,,,,0.0469,2.64,,0.924,,,,14.0478
EPIC 201563164.01,EPIC 201563164,candidate,1,0,0.18746328,,,,,0.9,1.32,1.07,46696,17.27,,,,17.1671
EPIC 201565013.01,EPIC 201565013,candidate,1,0,8.6382631,,,,,0.8,2.43,1.89,3720,0.5,,,,16.8969
EPIC 201565013.01,EPIC 201565013,candidate,1,0,8.63829,,,,,,,1.53192,3960,0.438,,4.844,,16.8969
EPIC 201565013.01,EPIC 201565013,candidate,1,0,8.6381,,,536,,,,,3987,0.5,,,,16.8969
EPIC 201565013.01,EPIC 201565013,candidate,1,0,8.63795,,,,,,2.738,2.0472,,0.438,,,,16.8969
EPIC 201569483.01,EPIC 201569483,non-candidate,1,0,5.7968861,,,,,0.73,9.43,2.57,4721,0.72,,,,11.7062
EPIC 201569483.01,EPIC 201569483,non-candidate,1,0,5.79687,,,930,,,,,5192,0.79,,,,11.7062
EPIC 201577017.01,EPIC 201577017,candidate,1,0,0.4775252,,,,,,1.5255,2.0472,,0.522,,,,14.9507
EPIC 201577112.01,EPIC 201577112,candidate,1,0,22.197992,,,,,0.14,1.52,2.54,3508,0.4,,,,16.6412
EPIC 201577112.01,EPIC 201577112,candidate,1,0,44.394,,,,,,1.517,2.784,,0.318,,,,16.6412
EPIC 201588420.01,EPIC 201588420,candidate,1,0,3.29163,,,,,,0.0394,1.2888,,0.567,,,,13.3201
EPIC 201588420.01,EPIC 201588420,candidate,1,0,3.2908998,,,,,0.18,0.0406,0.96,4671,0.72,,,,13.3201
EPIC 201595106 b,EPIC 201595106,candidate,1,2,0.877214,,,,89.2,,,,5820,0.93,,4.6,,11.6477
EPIC 201595106 b,EPIC 201595106,candidate,1,2,0.87724,0,2852,2038,78.2,0.814,,,5679,0.98,0.958,4.435,6,11.6477
EPIC 201595106 b,EPIC 201595106,candidate,1,2,0.87703,,,1874,,0.41,0.025,1.0008,5711.17,0.990833,1.018,4.45381,,11.6477
EPIC 201595106 b,EPIC 201595106,candidate,1,2,0.877183,,,,84.7005,,,,5705,0.932487,,4.48,,11.6477
EPIC 201596733.01,EPIC 201596733,candidate,1,0,2.8964139,,,,,0.4,0.289,1.63,3547,0.42,,,,14.2008
EPIC 201596733.01,EPIC 201596733,candidate,1,0,2.89607106,,,,,,0.383,1.874,3565,0.524138,0.521398,4.71635,,14.2008
EPIC 201596733.01,EPIC 201596733,candidate,1,0,2.896528,,,,,,0.3274,1.5984,,0.242,,,,14.2008
EPIC 201606542.01,EPIC 201606542,candidate,1,0,0.44433632,,,,,0.29,0.0134,0.72,5208,0.8,,,,11.9479
EPIC 201606542.01,EPIC 201606542,candidate,1,0,0.444372,,,,86.9,,,,5540,0.82,,4.81,,11.9479
EPIC 201615463 c,K2-166,candidate,1,2,3.80464,,,,,0.61,,,,,1.073,,,11.9456
EPIC 201617985.01,EPIC 201617985,candidate,1,0,7.28161,,,518,,,,,3742,0.49,,,,14.0514
EPIC 201617985.01,EPIC 201617985,candidate,1,0,7.28116,,,,88.28,,,,3726,0.541438,0.537488,4.70134,,14.0514
EPIC 201617985.01,EPIC 201617985,candidate,1,0,7.28076,,,,,,0.1293,1.872,,0.399,,,,14.0514
EPIC 201617985.01,EPIC 201617985,candidate,1,0,7.28138,,,,,,,1.32,3784,0.399,,4.883,,14.0514
EPIC 201617985.01,EPIC 201617985,candidate,1,0,7.28131,,,,,0.47,0.116,1.31,3748,0.51,,,,14.0514
EPIC 201619647.01,EPIC 201619647,candidate,1,0,4.58328,,,,,,0.152,2.208,,0.545,,,,14.635
EPIC 201619647.02,EPIC 201619647,candidate,1,0,1.65336,,,,,,0.0686,1.608,,0.545,,,,14.635
EPIC 201626686.01,EPIC 201626686,candidate,1,0,5.28081,,,,,,,3.26904,6227,3.01,,3.676,,11.4346
EPIC 201626686.01,EPIC 201626686,candidate,1,0,5.28130579,,,,,,0.074,3.552,6161.41,2.66957,1.17,3.65337,,11.4346
EPIC 201631267.01,EPIC 201631267,candidate,1,0,440,,,,,1.05,,,4600,0.85,,,,12.771
EPIC 201635132.01,EPIC 201635132,candidate,1,0,30,,,,,0.97,,,3400,0.89,,,,15.0949
EPIC 201635132.02,EPIC 201635132,candidate,1,0,,,,,,,3.177,5.16,,0.6009,,,,15.0949
EPIC 201639576.01,EPIC 201639576,candidate,1,0,7.655533,,,,,0.203,,3,5114,0.751,1.004,4.687,,14.4478
EPIC 201649426.01,EPIC 201649426,non-candidate,1,0,27.770388,,,,,0.77,10.6,3.14,4598,0.71,,,,13.2049
EPIC 201649426.01,EPIC 201649426,non-candidate,1,0,27.77045,,,441,,,,,5086,8.15,,,,13.2049
EPIC 201650711.01,EPIC 201650711,candidate,1,0,0.259669,,,,82.1,,,,4340,0.69,,4.25,,
EPIC 201650711.01,EPIC 201650711,candidate,1,0,0.25967056,,,,,0.11,0.0132,0.5,3982,0.59,,,,
EPIC 201650711.02,EPIC 201650711,candidate,1,0,5.54583,,,,,,0.0152,2.088,,0.34,,,,
EPIC 201654498.01,EPIC 201654498,candidate,1,0,18.4502,,,,,,0.085,3.72,,0.717,,,,14.6214
EPIC 201663879.02,K2-319,candidate,1,1,35.621,,,420,89.77,0.35,0.045,,5440,0.898,0.954,4.512,,11.9397
EPIC 201666578.01,EPIC 201666578,candidate,1,0,4.1333,,,,,,0.112,1.704,,0.312,,,,15.3174
EPIC 201683540.01,EPIC 201683540,candidate,1,0,1.9611469,,,,,0.78,0.727,1.33,4166,0.64,,,,14.9824
EPIC 201683540.01,EPIC 201683540,candidate,1,0,1.961336911,,533.383,1225.69,,,0.92350385,1.632367,4427,1.06738,,4.22028,,14.9824
EPIC 201702477.01,EPIC 201702477,candidate,1,0,40.7302,,,,,,,2.6496,5840,0.98,,4.44,,14.391
EPIC 201702477.01,EPIC 201702477,candidate,1,0,40.7362,,,529,,,,,5618,0.85,,,,14.391
EPIC 201705526.01,EPIC 201705526,candidate,1,0,18.10220826,,,,,,0.78,4.521,6141.1,2.04778,1.164,3.88145,,9.76589
EPIC 201717159.01,EPIC 201717159,candidate,1,0,0.60408352,,,,,0.38,0.0963,0.97,4331,0.67,,,,15.9321
EPIC 201717274.01,EPIC 201717274,candidate,1,0,3.52743,,,,,,,1.3296,3624,0.257,,5.014,,15.6549
EPIC 201717274.01,EPIC 201717274,candidate,1,0,3.52725,,,,,,0.199,1.68,,0.257,,,,15.6549
EPIC 201717274.01,EPIC 201717274,candidate,1,0,3.52674,,,,88.32,,,,3413,0.350987,0.335348,4.87298,,15.6549
EPIC 201717274.01,EPIC 201717274,candidate,1,0,3.5269024,,,,,0.71,0.167,1.57,4332,0.67,,,,15.6549
EPIC 201720401.01,EPIC 201720401,candidate,1,0,6340,,,,,0.15,,,4800,0.88,,,,14.6744
EPIC 201729655.01,EPIC 201729655,candidate,1,0,9.321691,,,,,0.315,,3.6,5089,0.678,0.787,4.712,,20.2478
EPIC 201732557.01,EPIC 201732557,candidate,1,0,6.662,,,,,,0.0946,3.072,,0.483,,,,15.4615
EPIC 201754305 d,K2-16,candidate,1,3,2.71578,,,,,0.21,,,,,0.67,,,14.3234
EPIC 201757695.02,EPIC 201757695,candidate,1,1,2.0478,0,,,89.2757,0.12,,,4520,0.655,0.727,4.659,,
EPIC 201775904.01,EPIC 201775904,candidate,1,0,,,,,,,1.3972,4.8072,,1.266,,,,11.5585
EPIC 201779067.01,EPIC 201779067,non-candidate,1,0,27.27048734,,,,,,3.413,6.748,5990.87,2.564,1.1,3.66162,,11.1348
EPIC 201779067.01,EPIC 201779067,non-candidate,1,0,27.242808,,,,,,3.7137,6.5664,,2.54,,,,11.1348
EPIC 201779067.01,EPIC 201779067,non-candidate,1,0,27.24273,,,707,,,,,6166,0.92,,,,11.1348
EPIC 201779067.01,EPIC 201779067,non-candidate,1,0,27.242912,,,,,0.89,3.7,6.56,5547,0.9,,,,11.1348
EPIC 201785059.01,EPIC 201785059,candidate,1,0,1.395336,,,,,,0.0665,1.2312,,0.28,,,,14.4385
EPIC 201785059.01,EPIC 201785059,candidate,1,0,1.39533316,,,,,,0.054,1.18,3433,0.424658,0.419014,4.80422,,14.4385
EPIC 201785059.01,EPIC 201785059,candidate,1,0,1.3951513,,,,,0.54,0.0616,1.15,3390,0.32,,,,14.4385
EPIC 201793642.01,EPIC 201793642,candidate,1,0,15.3791,,,,,,0.256,2.28,,0.336,,,,15.8642
EPIC 201828749.01,EPIC 201828749,candidate,1,0,33.5107,,,,,,,5.2896,5683,0.896,,4.5,,11.7105
EPIC 201828749.01,EPIC 201828749,candidate,1,0,33.51569,,,613,,,,,5552,0.71,,,,11.7105
EPIC 201828749.01,EPIC 201828749,candidate,1,0,33.5116,,,,,,0.0732,5.352,,0.875,,,,11.7105
EPIC 201828749.01,EPIC 201828749,candidate,1,0,33.513607,,,,89.2738,,,,5628,0.857642,,4.57,,11.7105
EPIC 201828749.01,EPIC 201828749,candidate,1,0,33.515399,,,,,0.33,0.0822,4.81,4222,0.65,,,,11.7105
EPIC 201833600 c,K2-50,candidate,1,2,3.96151,,,,,0.4,,,,,0.611,,,14.2575
EPIC 201833600 c,K2-50,candidate,1,2,3.96165,,,,,,0.0485,2.16,,0.634,,,,14.2575
EPIC 201837434.01,EPIC 201837434,candidate,1,0,6.97251,,,,,,0.0916,2.808,,0.6252,,,,14.0326
EPIC 201841433 b,EPIC 201841433,candidate,1,1,4.1698,,,,89.001,0.21,,,5053,0.628461,0.802,4.595,,14.5885
EPIC 201841433 b,EPIC 201841433,candidate,1,1,4.16959,,,,,0.36,,,,,0.802,,,14.5885
EPIC 201841433 b,EPIC 201841433,candidate,1,1,4.16888,,,,,,0.0447,2.4,,0.628,,,,14.5885
EPIC 201841433.01,EPIC 201841433,candidate,1,1,12.3389,,,,,,0.1021,2.76,,0.628,,,,14.5885
EPIC 201841433.01,EPIC 201841433,candidate,1,1,12.339133,,,,,0.09,0.107,2.84,4751,0.73,,,,14.5885
EPIC 201846824.01,EPIC 201846824,candidate,1,0,2.89465,,,,,,0.0551,1.44,,0.702,,,,14.5976
EPIC 201856786.01,EPIC 201856786,candidate,1,0,3.83794,,,,,,0.0315,2.112,,0.809,,,,13.4874
EPIC 201856786.02,EPIC 201856786,candidate,1,0,5.24086,,,,,,0.0292,2.568,,0.809,,,,13.4874
EPIC 201892470.01,EPIC 201892470,candidate,1,0,2790,,,,,1.07,,,5100,0.93,,,,11.5629
EPIC 201896171.01,EPIC 201896171,candidate,1,0,8.91058,,,,,,0.0592,2.88,,1.028,,,,13.3406
EPIC 201920032.01,EPIC 201920032,candidate,1,0,28.2692,,,,,,,4.2504,5631,1.29,,4.2,,12.9033
EPIC 201920032.01,EPIC 201920032,candidate,1,0,28.270642,,,,,0.57,0.0813,4.3,5545,0.9,,,,12.9033
EPIC 201920032.01,EPIC 201920032,candidate,1,0,28.2671,,,,,,0.0757,4.224,,1.028,,,,12.9033
EPIC 201920032.01,EPIC 201920032,candidate,1,0,28.271761,,,,89.30475,,,,5548,0.933556,,4.42,,12.9033
EPIC 201920032.01,EPIC 201920032,candidate,1,0,28.2717,,,,89.3,0.01,,4.104,5564,1.02594,0.98,4.40705,,12.9033
